name,id
加泰罗尼亚语,0
泰米尔语,1
保定话,2
毛利语,3
萨卡语,4
匈奴语,5
武汉话,6
湖南话,7
法国,8
冰岛语,9
哈萨克语,10
泰卢固语,11
菲律宾语,12
丹麦语,13
北印度语,14
唐山话,15
祖鲁语,16
孟加拉语,17
爱沙尼亚语,18
高棉语,19
天津方言,20
英语手语,21
闽南语,22
尼泊尔语,23
克林贡语,24
北京话,25
昆雅语,26
四川话,27
四川方言,28
晋语,29
意大利,30
他加禄语,31
科萨语,32
荷兰语,33
东北话,34
韩语,35
古埃及语,36
普通话,37
印尼语,38
陕西话,39
翁瓦西,40
威尔士语,41
台湾手语,42
旁遮普语,43
希腊语,44
英语,45
格陵兰语,46
夏威夷语,47
斯洛伐克语,48
捷克语,49
拉丁语,50
马拉雅拉姆语,51
辛达林语,52
朝鲜手语,53
波斯语,54
乌尔都语,55
美国手语,56
甘肃方言,57
满语,58
奇楚亚语,59
希伯来语,60
陕西方言,61
挪威语,62
重庆话,63
朝鲜语,64
英国手语,65
山东方言,66
塔吉克语,67
亚美尼亚语,68
芬兰语,69
马来语,70
苏语,71
温州话,72
娄凡语,73
葡萄牙语,74
韩国语,75
古希腊语,76
乌克兰语,77
南非荷兰语,78
越南语,79
山西话,80
僧伽罗语,81
阿拉伯语,82
浙江方言,83
手语,84
阿塞拜疆语,85
索马里语,86
武汉方言,87
日語,88
日语,89
门德语,90
青岛话,91
德语,92
普什图语,93
韩国手语,94
北美印第安语,95
印第安苏族语,96
盖尔语,97
玛雅语,98
古英语,99
法语,100
爱尔兰语,101
波尼族语,102
巴西手语,103
国语,104
西西里语,105
客家话,106
无对白,107
印度尼西亚语,108
河南方言,109
西班牙语,110
保加利亚语,111
纳瓦霍语,112
爱尔兰盖尔语,113
梵文,114
依地语,115
塞尔维亚语,116
坎纳达语,117
克罗地亚语,118
古代英语,119
阿尔巴尼亚语,120
福建话,121
苏格兰盖尔语,122
比利时语,123
汉语普通话,124
瑞士德语,125
克里奥尔语,126
达里语,127
英文,128
库尔德语,129
安徽方言,130
俄罗斯语,131
蒙古语,132
塞索托语,133
蚌埠话,134
印地语,135
塔加路族语,136
世界语,137
西班牙,138
桑族语,139
加利西亚语,140
土耳其语,141
赛德克语,142
匈牙利语,143
粤语,144
土著语,145
台语,146
捷克,147
尼安哈语,148
中文,149
波兰语,150
古诺尔斯语,151
佛兰德斯语,152
泰语,153
俄语,154
贵州话,155
南京话,156
满族语,157
意大利语,158
瑞典语,159
斯瓦希里语,160
维吾尔语,161
阿拉姆语,162
藏语,163
上海话,164
格鲁吉亚语,165
萨米语,166
车臣语,167
塞尔维亚克罗地亚语,168
乌兹别克语,169
鞑靼语,170
亚述语新阿拉姆语,171
南非语,172
阿布哈兹语,173
缅甸语,174
罗马尼亚语,175
客家语,176
云南方言,177
